groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,calls_recoveringl1,calls_test_conj,time_attack
GGS_STAB_3_2,5,10,10,5,3,1062,1,10,187,111
GGS_STAB_3_2,5,10,10,5,3,1062,1,11,51,94
GGS_STAB_3_2,5,10,10,5,3,1062,1,8,105,80
GGS_STAB_3_2,5,10,10,5,3,1062,1,11,124,90
GGS_STAB_3_2,5,10,10,5,3,1062,1,8,113,88
GGS_STAB_3_2,5,10,10,5,3,1062,1,9,210,100
GGS_STAB_3_1,5,1000,10,50,3,1158,1,5,22,380
GGS_STAB_3_2,5,10,10,5,3,1062,1,9,22,72
GGS_STAB_3_2,5,10,10,10,3,1062,1,8,85,96
GGS_STAB_3_2,5,10,10,10,3,1062,1,9,85,92
GGS_STAB_3_2,5,10,10,10,3,1062,1,10,151,101
GGS_STAB_3_2,5,10,10,10,3,1062,1,11,144,103
GGS_STAB_3_2,5,10,10,10,3,1062,1,9,144,106
GGS_STAB_3_1,5,1000,10,50,3,1158,1,5,28,365
GGS_STAB_3_2,5,10,10,10,3,1062,1,8,74,100
GGS_STAB_3_2,5,10,10,10,3,1062,1,9,56,100
GGS_STAB_3_2,5,10,10,10,3,1062,1,10,109,107
