groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,time_attack
GGS_STAB_3_1,5,3,1000,10,6,476603,-1
GGS_STAB_3_2,5,3,1000,10,6,396401,-1
GRIGORCHUK,5,4,1000,10,10,36,-1
GGS_STAB_3_1,5,3,1000,5,6,476603,0,3297409
GRIGORCHUK,5,4,1000,5,10,36,-1
GGS_STAB_3_2,5,3,1000,5,6,396401,-1
GGS_STAB_3_1,5,3,1000,10,6,476603,-1
GGS_STAB_3_2,5,3,1000,10,6,396401,-1
GRIGORCHUK,5,4,1000,10,10,36,-1
GGS_STAB_3_1,5,3,1000,5,6,476603,-1
GRIGORCHUK,5,4,1000,5,10,36,-1
GGS_STAB_3_2,5,3,1000,5,6,396401,-1
GGS_STAB_3_1,5,3,1000,10,6,476603,0,3318206
GGS_STAB_3_2,5,3,1000,10,6,396401,-1
GRIGORCHUK,5,4,1000,10,10,36,-1
GGS_STAB_3_1,5,3,1000,5,6,476603,0,3159745
GRIGORCHUK,5,4,1000,5,10,36,-1
GGS_STAB_3_2,5,3,1000,5,6,396401,-1
GGS_STAB_3_1,5,3,1000,10,6,476603,0,3331844
GGS_STAB_3_2,5,3,1000,10,6,396401,-1
GRIGORCHUK,5,4,1000,10,10,36,-1
GRIGORCHUK,5,4,1000,5,10,36,-1
GGS_STAB_3_2,5,3,1000,5,6,396401,-1
GGS_STAB_3_2,5,3,1000,10,6,396401,-1
GRIGORCHUK,5,4,1000,10,10,36,-1
GRIGORCHUK,5,4,1000,5,10,36,-1
GGS_STAB_3_2,5,3,1000,5,6,396401,-1
GRIGORCHUK,5,4,1000,10,10,36,-1
GRIGORCHUK,5,4,1000,5,10,36,-1
GRIGORCHUK,5,4,1000,10,10,36,-1
GRIGORCHUK,5,4,1000,5,10,36,-1
